CGPA,Skills,Certificates,Placed
8.25,"Machine Learning, Node.js, Django",Android App Dev Intern,1
7.31,"React, Node.js",None,1
6.36,"Spring Boot, Git, Node.js, Flutter",None,0
5.53,"Git, Deep Learning, Machine Learning, SQL, React",None,0
5.9,Docker,None,0
8.64,"AWS, C++, Spring Boot, Data Science, Docker",AWS Certified Solutions Architect,0
8.82,"Node.js, JavaScript, AWS, Machine Learning, Flutter, Deep Learning, Git, HTML/CSS","Coursera Machine Learning Certificate, Data Science Intern at Infosys",1
8.44,"HTML/CSS, Spring Boot, Node.js","Data Science Intern at Infosys, Android App Dev Intern",1
6.89,"Java, Node.js, PostgreSQL, Deep Learning, AWS",Udemy Full Stack Boot Camp Certificate,0
6.85,"AWS, Flutter, SQL, Machine Learning, Spring Boot","Udemy Full Stack Boot Camp Certificate, Microsoft Certified Azure Fundamentals",0
7.22,"SQL, Swift, Kotlin",Google Software Engineer Intern,1
6.19,"PostgreSQL, C++, AWS, Spring Boot",None,0
6.58,"Python, JavaScript, Spring Boot, Machine Learning",None,0
6.76,"Python, Machine Learning",None,0
7.68,"Data Science, Swift, React",Android App Dev Intern,0
9.47,"PostgreSQL, Deep Learning, Kotlin, Python, JavaScript, Flutter, HTML/CSS, AWS",Coursera Machine Learning Certificate,0
9.57,"Kotlin, C++, Spring Boot, SQL","Android App Dev Intern, Web Developer Intern at TCS",1
9.25,"React, Spring Boot, PostgreSQL, Data Science, AWS",None,0
7.38,"JavaScript, Node.js, Django, C++",Udemy Full Stack Boot Camp Certificate,1
5.81,"Node.js, C++, Java, Deep Learning",Data Science Intern at Infosys,0
6.42,"Django, PostgreSQL",None,0
8.97,"JavaScript, Git, Docker, Django",Google Software Engineer Intern,1
8.63,"JavaScript, Node.js, React, Spring Boot, Flutter, C++, Swift","Coursera Machine Learning Certificate, Google Software Engineer Intern",1
9.2,"Java, Spring Boot, Python, C++, Node.js, Swift","Coursera Machine Learning Certificate, Microsoft Certified Azure Fundamentals",0
6.21,AWS,"Data Science Intern at Infosys, Microsoft Certified Azure Fundamentals",0
8.64,"Kotlin, SQL, React, Data Science, Spring Boot, Python, Swift",None,1
6.85,"Kotlin, Swift",None,0
5.74,"HTML/CSS, C++, Django",None,0
6.02,"Node.js, Django, Java, C++, Git",None,0
6.86,"Deep Learning, Node.js, Machine Learning","Oracle Java SE Certified, React Developer Intern",0
9.52,"PostgreSQL, Django, JavaScript",Android App Dev Intern,1
9.51,"Node.js, Docker, Data Science, HTML/CSS, Flutter, Git, Machine Learning, Django",Android App Dev Intern,1
8.35,"SQL, Machine Learning, JavaScript, Spring Boot, PostgreSQL, Kotlin, Flutter","Coursera Machine Learning Certificate, Data Science Intern at Infosys",1
6.58,"Java, C++, Git, Machine Learning, PostgreSQL, Python",Data Science Intern at Infosys,1
7.4,"Spring Boot, Python, JavaScript, C++, SQL",None,0
8.0,"SQL, Java, Data Science",React Developer Intern,1
6.57,"Spring Boot, Git",None,0
9.48,"HTML/CSS, PostgreSQL, Git, Python","Microsoft Certified Azure Fundamentals, Coursera Machine Learning Certificate",1
8.89,"Java, Kotlin, Node.js","React Developer Intern, Data Science Intern at Infosys",0
9.25,"React, AWS, Deep Learning, Machine Learning",None,0
6.7,"AWS, Spring Boot, Deep Learning, Python, JavaScript",None,1
8.0,"Java, JavaScript, Git, Docker, Deep Learning, React, Data Science",None,1
9.37,"Java, Git, Python, Swift",None,0
8.59,"React, Docker, Git, C++, Deep Learning, Data Science",Data Science Intern at Infosys,1
8.37,"Data Science, Spring Boot, SQL, React","Web Developer Intern at TCS, Data Science Intern at Infosys",1
9.09,"React, Git, Deep Learning, Flutter, Swift",Android App Dev Intern,1
9.38,"HTML/CSS, C++, Data Science, Swift, Deep Learning, Java, Git",None,1
6.83,"SQL, Python, Java, Node.js, Kotlin",None,0
7.46,"Django, React, AWS, Kotlin, Spring Boot, JavaScript",Google Software Engineer Intern,0
6.44,"Swift, Flutter, Java, Node.js, JavaScript",None,0
8.37,"PostgreSQL, Deep Learning, Flutter, Swift, Git, Kotlin, Machine Learning",Oracle Java SE Certified,1
8.73,"Machine Learning, Swift, Kotlin, Node.js, PostgreSQL, Django, Java",Data Science Intern at Infosys,1
9.34,"SQL, Node.js, AWS, PostgreSQL",Microsoft Certified Azure Fundamentals,1
7.83,"React, Git, AWS, Python",None,0
